accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
DQ997138.1,TRUE,Alphainfluenzavirus,A/chicken/Hubei/wl/1997,China,Influenza A virus (A/chicken/Hubei/wl/1997(H5N1)),,non-human,,FALSE,FALSE,Aves,Avian,China,TRUE,ai,TRUE,TRUE,7,
NC_003762.1,TRUE,Phytoreovirus,Chinese strain,,Rice dwarf virus,,non-human,,FALSE,FALSE,,Plant,"null, null",FALSE,ai,TRUE,TRUE,5,
KR868722.1,TRUE,Mamastrovirus,DcAstV-64,United Arab Emirates,Dromedary astrovirus,,non-human,04-Feb-2013,FALSE,FALSE,Camelus dromedarius,Mammal,United Arab Emirates,TRUE,ai,TRUE,FALSE,,
MZ561698.1,TRUE,Orthoreovirus,Reo/SDWF/pheaseant/17608/20,China,Avian orthoreovirus,,non-human,08-Jun-2020,FALSE,FALSE,Phasianus colchicus,Avian,"Unknown, China",FALSE,ai,TRUE,TRUE,M2,
AF374299.1,TRUE,Cypovirus,,,Antheraea assamensis cypovirus 4,,non-human,,FALSE,FALSE,Antheraea assamensis,Insect,,FALSE,ai,TRUE,TRUE,9,
MW260152.1,TRUE,Orthoreovirus,PRV-1 NOR-2018/NL-V4105,Norway,Piscine orthoreovirus,,non-human,2018,FALSE,FALSE,Salmo salar,Fish,,FALSE,ai,TRUE,TRUE,S2,
MT792847.1,TRUE,Cytorhabdovirus,CN3,Mexico: Nayarit,Bean-associated cytorhabdovirus,,non-human,01-Jan-2014,FALSE,FALSE,Phaseolus vulgaris,Plant,"Nayarit, Mexico",FALSE,ai,TRUE,FALSE,,
LC269978.1,TRUE,Polyomaviridae,SUB13#17,"Zambia:Lusaka, Leopard's Hill Cave",Rhinolophus simulator polyomavirus 1,,non-human,2013,FALSE,FALSE,Rhinolophus simulator,Mammal,"Lusaka, Zambia",TRUE,ai,TRUE,FALSE,,
AJ251934.1,TRUE,Avihepadnavirus,STHBV-1,Germany:Northern Germany,Stork hepatitis B virus,,non-human,,FALSE,FALSE,Ciconia ciconia,Avian,"Northern Germany, Germany",FALSE,ai,TRUE,FALSE,,
MN506287.1,TRUE,Orthoflavivirus,VL 3006,Brazil: Valenca-RJ,Yellow fever virus,,non-human,24-Jan-2018,FALSE,FALSE,Neacomys spinosus,Mammal,"Valenca-RJ, Brazil",TRUE,ai,TRUE,FALSE,,
MH166901.1,TRUE,Orthoflavivirus,VA_AV_573-00,"USA: VA, Norfolk County",West Nile virus,,non-human,2000,FALSE,FALSE,Aves,Avian,"Norfolk County, USA",TRUE,ai,TRUE,FALSE,,
MT185675.1,TRUE,Betanucleorhabdovirus,HWY65,USA,Sowthistle yellow vein virus,,non-human,01-Nov-2018,FALSE,FALSE,Sonchus oleraceus,Plant,USA,FALSE,ai,TRUE,FALSE,,
AF147498.1,TRUE,Novirhabdovirus,,,Snakehead rhabdovirus,,non-human,,FALSE,FALSE,Channa striata,Fish,,FALSE,ai,TRUE,FALSE,,
MK829693.1,TRUE,Novirhabdovirus,IHNV/O.mykiss/I/TV/310/May05,Italy,Infectious hematopoietic necrosis virus,,non-human,30-May-2005,FALSE,FALSE,Oncorhynchus mykiss,Fish,Italy,FALSE,ai,TRUE,FALSE,,
KJ495760.1,TRUE,Orbivirus,AUS1969/01,Australia,Warrego virus,,non-human,1969,FALSE,FALSE,Unknown,Mammal,"Unknown, Australia",FALSE,ai,TRUE,TRUE,6,
MZ882382.1,TRUE,Mastadenovirus,AdV-lumc005,Netherlands,Human mastadenovirus C,,non-human,2014,FALSE,FALSE,Pongo pygmaeus,Mammal,Netherlands,TRUE,ai,TRUE,FALSE,,
OP037815.1,TRUE,Orthoflavivirus,Guriev,,Omsk hemorrhagic fever virus,,non-human,,FALSE,FALSE,Ixodida,Insect,,TRUE,ai,TRUE,FALSE,,
NC_076210.1,TRUE,Betaricinrhavirus,Chimay-1,Belgium,Chimay rhabdovirus,,non-human,Jun-2009,FALSE,FALSE,Ixodes ricinus,Insect,Belgium,TRUE,ai,TRUE,FALSE,,
KU198471.1,TRUE,Lyssavirus,07V1483RFX,USA,Lyssavirus rabies,,non-human,2007,FALSE,FALSE,Vulpes vulpes,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
AB827990.1,TRUE,Alphainfluenzavirus,A/muscovy duck/Vietnam/LBM330/2013,Viet Nam,Influenza A virus (A/muscovy duck/Vietnam/LBM330/2013(H5N1)),,non-human,07-Jan-2013,FALSE,FALSE,Cairina moschata,Avian,Viet Nam,TRUE,ai,TRUE,TRUE,3,
MT240824.1,TRUE,Almendravirus,GD18003,China,Menghai virus,,non-human,16-Apr-2018,FALSE,FALSE,,Insect,"null, China",TRUE,ai,TRUE,FALSE,,
PP471888.1,TRUE,Alpharicinrhavirus,22HNT16,China,Wuhan Tick Virus 1,,non-human,Jun-2022,FALSE,FALSE,Rhipicephalus sanguineus,Other,,TRUE,ai,TRUE,FALSE,,
ON123672.1,TRUE,Orthoflavivirus,MR766,,Zika virus,,non-human,,TRUE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
MW652783.1,TRUE,Orthoreovirus,MRV/YAK/AB14/2018,China,Mammalian orthoreovirus,,non-human,16-Jun-2018,FALSE,FALSE,Bos grunniens,Mammal,China,FALSE,ai,TRUE,TRUE,S4,
ON866997.1,TRUE,Bocaparvovirus,MBQD-1,China,Mink bocavirus,,non-human,Aug-2021,FALSE,FALSE,Neovison vison,Mammal,China,TRUE,ai,TRUE,FALSE,,
MW874082.1,TRUE,Coltivirus,Heverlee,Belgium,Eyach virus,,non-human,15-Jun-2017,FALSE,FALSE,Ixodes ricinus,Insect,Belgium,TRUE,ai,TRUE,TRUE,2,
NC_038626.1,TRUE,Aquareovirus,,,Green River chinook virus,,non-human,,FALSE,FALSE,,,,FALSE,ai,TRUE,TRUE,8,
NC_004199.1,TRUE,Seadornavirus,JKT-7075,,Kadipiro virus,,non-human,,FALSE,FALSE,,Other,"null, null",FALSE,ai,TRUE,TRUE,,
MW721989.1,TRUE,Mogiana tick virus,JTV/HAHH6,China,Jingmen tick virus,,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,China,TRUE,ai,TRUE,TRUE,2,
MH341446.1,FALSE,Orthopoxvirus,L-IVP_oncoM,Russia,Vaccinia virus,,non-human,Aug-2017,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
MK540673.1,TRUE,Lyssavirus,NY.1990.4610R,USA: New York,Lyssavirus rabies,,non-human,1990,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
KT946722.1,TRUE,Avastrovirus,D11-116/HK,Hong Kong,Avian astrovirus,,non-human,,FALSE,FALSE,Streptopelia chinensis,Avian,Hong Kong,TRUE,ai,TRUE,FALSE,,
MK540827.1,TRUE,Lyssavirus,ON.2016.0554R,Canada: Ontario,Lyssavirus rabies,,non-human,2016,FALSE,FALSE,Procyon lotor,Mammal,"Ontario, Canada",TRUE,ai,TRUE,FALSE,,
AF241359.1,FALSE,Enterovirus,CA55-1988,,Enterovirus B73,,non-human,,FALSE,FALSE,,,,FALSE,ai,TRUE,FALSE,,
NC_034162.1,TRUE,Aquareovirus,GSH1,USA,Fall chinook aquareovirus,,non-human,21-Oct-2014,FALSE,FALSE,Oncorhynchus tschawytscha,Fish,USA,FALSE,ai,TRUE,TRUE,7,
MF063042.1,TRUE,Orthoflavivirus,AT-N211/16,Austria: Fishamend,Usutu virus,,non-human,29-Sep-2016,FALSE,FALSE,Turdus merula,Avian,"Fishamend, Austria",TRUE,ai,TRUE,FALSE,,
MW550041.1,TRUE,Cytorhabdovirus,JS27,China,Actinidia virus D,,non-human,2016-05,FALSE,FALSE,kiwifruit,Plant,China,FALSE,ai,TRUE,FALSE,,
MK540684.1,TRUE,Lyssavirus,NY.1992.0379R,USA: New York,Lyssavirus rabies,,non-human,1992,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
MN885650.1,TRUE,Isavirus,ISAV_752,,Isavirus salaris,,non-human,,FALSE,FALSE,fish,Fish,,FALSE,ai,TRUE,TRUE,4,
KX547570.1,TRUE,Orthoflavivirus,WNV-1/Cyanocitta cristata /USA/05002442/2005,"USA: Rockland Co., NY",West Nile virus,,non-human,02-Sep-2005,TRUE,FALSE,Cyanocitta cristata,Avian,"Rockland Co., USA",TRUE,ai,TRUE,FALSE,,
MK829695.1,TRUE,Novirhabdovirus,IHNV/O.mykiss/I/TV/310-3.4/May05_L.2,Italy,Infectious hematopoietic necrosis virus,,non-human,30-May-2005,FALSE,FALSE,Oncorhynchus mykiss,Fish,Italy,FALSE,ai,TRUE,FALSE,,
MK540688.1,TRUE,Lyssavirus,NY.1993.10761R,USA: New York,Lyssavirus rabies,,non-human,1993,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
KX000107.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB0926MS0195/2009,"USA: Madison, NY",Eastern equine encephalitis virus,,non-human,08-Sep-2009,TRUE,FALSE,Culiseta melanura,Insect,"Madison, USA",TRUE,ai,TRUE,FALSE,,
MK578000.1,TRUE,Dichorhavirus,citrus strain 2,Mexico,Dichorhavirus orchidaceae,,non-human,15-Dec-2012,FALSE,FALSE,Citrus aurantium,Plant,Mexico,FALSE,ai,TRUE,TRUE,RNA1,
ON059886.1,TRUE,Rotavirus,P029T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,pangolin,Mammal,", ",TRUE,ai,TRUE,TRUE,8,
KX000225.1,TRUE,Alphavirus,EEEV/Empidonax alnorum/USA/US03-1974/2003,USA: New Jersey,Eastern equine encephalitis virus,,non-human,24-Sep-2003,TRUE,FALSE,Empidonax alnorum,Avian,"New Jersey, USA",TRUE,ai,TRUE,FALSE,,
EF205208.1,TRUE,Alphainfluenzavirus,A/chicken/Krasnodar/123/06,,Influenza A virus (A/chicken/Krasnodar/123/06(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,"Krasnodar, Russia",TRUE,ai,TRUE,TRUE,1,
MF143290.2,TRUE,Lyssavirus,NY.1994.1330,"USA: Kendall, Orleans, NY",Lyssavirus rabies,,non-human,24-Mar-1994,FALSE,FALSE,Procyon lotor,Mammal,"Kendall, USA",TRUE,ai,TRUE,FALSE,,
KC588375.1,TRUE,Cypovirus,,United Kingdom,Inachis io cypovirus 2,,non-human,,FALSE,FALSE,arthropod,Insect,"null, United Kingdom",FALSE,ai,TRUE,TRUE,10,
MF143206.2,TRUE,Lyssavirus,ME.2013.0233,"USA: Stow, Oxford, ME",Lyssavirus rabies,,non-human,19-Jul-2013,FALSE,FALSE,Procyon lotor,Mammal,"Stow, Oxford, ME, USA",TRUE,ai,TRUE,FALSE,,
NC_034206.1,TRUE,Kunsagivirus,baboon/M27-KuV/1986/TAN,Tanzania: Mikumi National Park,kunsagivirus C1,,non-human,1986,FALSE,FALSE,Papio cynocephalus,Mammal,"Mikumi National Park, Tanzania",FALSE,ai,TRUE,FALSE,,
ON059900.1,TRUE,Rotavirus,P251T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,Manis,Mammal,,TRUE,ai,TRUE,TRUE,10,
NC_028244.1,TRUE,Cytorhabdovirus,Hebei,China,Cytorhabdovirus hordei,,non-human,,FALSE,FALSE,,Other,China,FALSE,ai,TRUE,FALSE,,
KM594030.1,TRUE,Lyssavirus,IP 1400/10,Brazil,Lyssavirus rabies,,non-human,2010,FALSE,FALSE,Myotis nigricans,Mammal,Brazil,TRUE,ai,TRUE,FALSE,,
NC_004800.1,TRUE,Gammapolyomavirus,Germany 2001,,Goose hemorrhagic polyomavirus,,non-human,,FALSE,FALSE,Unknown,Avian,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
DQ997165.1,TRUE,Alphainfluenzavirus,A/duck/Hubei/wp/2003,China,Influenza A virus (A/duck/Hubei/wp/2003(H5N1)),,non-human,,FALSE,FALSE,Anas platyrhynchos,Avian,"Hubei, China",TRUE,ai,TRUE,TRUE,5,
MN241408.1,TRUE,Sardinovirus,POMV14-01514,"Australia: Huon, Southern Tasmania",Pilchard orthomyxovirus,,non-human,2014,FALSE,FALSE,Salmo salar,Fish,"Huon, Australia",FALSE,ai,TRUE,TRUE,2,
NC_076927.1,TRUE,Rhabdoviridae,OKIAV46,"Italy: Valle d'Aosta, Turlin",Hymenopteran rhabdo-related virus,,non-human,18-Jun-2012,FALSE,FALSE,Chrysura radians,Insect,"Valle d'Aosta, Italy",FALSE,ai,TRUE,FALSE,,
MN506291.1,TRUE,Orthoflavivirus,VL 3016,Brazil: Valenca-RJ,Yellow fever virus,,non-human,26-Jan-2018,FALSE,FALSE,Hg. janthinomys,Mammal,"Valenca-RJ, Brazil",TRUE,ai,TRUE,FALSE,,
EU616737.1,TRUE,Orthoreovirus,C-98,China,Avian orthoreovirus,,non-human,,FALSE,FALSE,undefined,Avian,"undefined, China",FALSE,ai,TRUE,TRUE,L3,
MK598363.1,TRUE,Lyssavirus,31168,Hungary,Lyssavirus rabies,,non-human,2013,FALSE,FALSE,Vulpes vulpes,Mammal,Hungary,TRUE,ai,TRUE,FALSE,,
AY950251.1,TRUE,Alphainfluenzavirus,A/Chicken/Henan/1/2004,China,Influenza A virus (A/chicken/Henan/01/2004(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,", China",TRUE,ai,TRUE,TRUE,5,
OP913246.1,TRUE,Orthoreovirus,MLBC1302,China,Nelson Bay orthoreovirus,,non-human,2013,FALSE,FALSE,Eucampsipoda sundaica,Crustacean,"Unknown, China",FALSE,ai,TRUE,TRUE,M1,
NC_002204.1,FALSE,Betainfluenzavirus,B/Lee/1940,,Influenza B virus (B/Lee/1940),,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,TRUE,RNA 1,
KT899745.1,TRUE,Protoparvovirus,MEV-LHV,China: Liaoning,Mink enteritis virus,,non-human,2014,FALSE,FALSE,Neovison vison,Mammal,"Liaoning, China",TRUE,ai,TRUE,FALSE,,
NC_012783.2,TRUE,Cytomegalovirus,2715,USA,Cercopithecine betaherpesvirus 5,,non-human,,FALSE,FALSE,Cercopithecus aethiops,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
OQ363761.1,TRUE,Picornaviridae,GD/L12.18b/2020,China,Bat picornavirus 6,,non-human,Nov-2020,FALSE,FALSE,Miniopterus pusillus,Mammal,,TRUE,ai,TRUE,FALSE,,
OX442301.1,TRUE,Orthoflavivirus,ED-I-252-20,,West Nile virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
JQ692938.1,TRUE,Dyotaupapillomavirus,TT20F,Hong Kong,Miniopterus schreibersii papillomavirus 1,,non-human,29-Dec-2006,FALSE,FALSE,Miniopterus schreibersii,Mammal,"null, Hong Kong",FALSE,ai,TRUE,FALSE,,
MK829690.1,TRUE,Novirhabdovirus,IHNV/O.mykiss/I/TN/139/Mar01,Italy,Infectious hematopoietic necrosis virus,,non-human,27-Mar-2001,FALSE,FALSE,Oncorhynchus mykiss,Fish,Italy,FALSE,ai,TRUE,FALSE,,
X89213.1,TRUE,Novirhabdovirus,,,Infectious hematopoietic necrosis virus,,non-human,,FALSE,FALSE,Oncorhynchus mykiss,Fish,Unknown,FALSE,ai,TRUE,FALSE,,
MN542422.1,TRUE,Aviadenovirus,AHFY19,China,Fowl aviadenovirus 10,,non-human,12-Jan-2019,FALSE,FALSE,Gallus gallus,Avian,"China, China",FALSE,ai,TRUE,FALSE,,
DQ643975.1,TRUE,Orthoreovirus,G-98,China,Avian orthoreovirus,,non-human,,FALSE,FALSE,Unknown,Avian,"Unknown, China",TRUE,ai,TRUE,TRUE,S1,
MF543022.1,TRUE,Betanucleorhabdovirus,Veloy,Russia,Black currant nucleorhabdovirus 1,,non-human,01-Oct-2012,FALSE,FALSE,Ribes nigrum,Plant,Russia,FALSE,ai,TRUE,FALSE,,
MF143293.2,TRUE,Lyssavirus,NY.2003.1995,"USA: Kendall, Orleans, NY",Lyssavirus rabies,,non-human,06-Jun-2003,FALSE,FALSE,Procyon lotor,Mammal,"Kendall, Orleans, USA",TRUE,ai,TRUE,FALSE,,
MK540711.1,TRUE,Lyssavirus,NY.2004.6016R,USA: New York,Lyssavirus rabies,,non-human,2004,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
MW722008.1,TRUE,Mogiana tick virus,JTV/HAYH1,China,Jingmen tick virus,,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,China,TRUE,ai,TRUE,TRUE,3,
NC_007548.1,FALSE,Rotavirus,J19,,Adult diarrheal rotavirus strain J19,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
KY688148.1,TRUE,Lyssavirus,RV2974,United Kingdom,European bat lyssavirus 2,,non-human,2014,FALSE,FALSE,Myotis daubentonii,Mammal,,TRUE,ai,TRUE,FALSE,,
KM594025.1,TRUE,Lyssavirus,IP 5402/07,Brazil,Lyssavirus rabies,,non-human,2007,FALSE,FALSE,Callithrix jacchus,Mammal,Brazil,TRUE,ai,TRUE,FALSE,,
MF143254.2,TRUE,Lyssavirus,NB.2015.1049,"Canada: McAdam, York, NB",Lyssavirus rabies,,non-human,01-Sep-2015,FALSE,FALSE,Procyon lotor,Mammal,"McAdam, Canada",TRUE,ai,TRUE,FALSE,,
JN811141.1,TRUE,Orthoflavivirus,17D YF-VAX Vero adapted,,Yellow fever virus,,non-human,,TRUE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
MN784693.1,TRUE,Iltovirus,vModKLO,USA,Gallid alphaherpesvirus 1,,non-human,,FALSE,FALSE,Gallus gallus,Avian,USA,FALSE,ai,TRUE,FALSE,,
OL774560.1,TRUE,Cypovirus,DsCPV-1,Russia,Cypovirus 1,,non-human,,FALSE,FALSE,Dendrolimus sibiricus,Insect,,FALSE,ai,TRUE,TRUE,9,
MG589940.1,TRUE,Orthoflavivirus,Kotka-18_Ixodes_ricinus_Finland-2011,Finland,Tick-borne encephalitis virus,,non-human,2011,FALSE,FALSE,Ixodes ricinus,Insect,,TRUE,ai,TRUE,FALSE,,
AF094612.1,TRUE,Orthoflavivirus,Trinidad 79A,,Yellow fever virus,,non-human,,FALSE,FALSE,,,,FALSE,ai,TRUE,FALSE,,
LT993243.1,TRUE,Lyssavirus,AUS/2004/cellculture,,Lyssavirus rabies,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
KY026449.1,TRUE,Lyssavirus,raccoon,Canada,Lyssavirus rabies,,non-human,18-Apr-2001,FALSE,FALSE,Procyon lotor,Mammal,,TRUE,ai,TRUE,FALSE,,
OQ363779.1,TRUE,Shanbavirus,GD/L58.18/2021,China,Rhinolophus bat shanbavirus,,non-human,Oct-2021,FALSE,FALSE,Rhinolophus pusillus,Mammal,"Unknown, China",TRUE,ai,TRUE,FALSE,,
HM488179.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4338/2002,USA: Illinois,West Nile virus,,non-human,2002,FALSE,FALSE,Corvus brachyrhynchos,Avian,"Illinois, USA",TRUE,ai,TRUE,FALSE,,
AF405666.1,TRUE,Enterovirus,HAI01007,,Poliovirus 1,,human,,FALSE,FALSE,Homo sapiens,Mammal,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
MH484438.1,TRUE,Orthohepadnavirus,DL70,China,Asian grey shrew hepatitis B virus,,non-human,2017,FALSE,FALSE,Crocidura attenuata,Mammal,China,TRUE,ai,TRUE,FALSE,,
MH327946.1,TRUE,Coltivirus,MCL-13-T-316,"India: Kundal village, Ahmedabad state",Kundal virus,,non-human,2013,FALSE,FALSE,Ixodidae,Other,"Kundal village, India",TRUE,ai,TRUE,TRUE,12,
LC426669.1,TRUE,Polyomaviridae,PyVG-NJ21C,China,Aselliscus stoliczkanus polyomavirus 1,,non-human,2016,FALSE,FALSE,Aselliscus stoliczkanus,Mammal," , China",FALSE,ai,TRUE,FALSE,,
OM892339.1,TRUE,Parvovirinae,190Parv-1,,Parvovirinae sp.,,non-human,2019,FALSE,FALSE,Camelus dromedarius,Mammal,,FALSE,ai,TRUE,FALSE,,
HQ834199.1,TRUE,Rotavirus,CC0812-1/2008,China,Lamb rotavirus,,non-human,Dec-2008,FALSE,FALSE,Ovis aries,Mammal,China,TRUE,ai,TRUE,TRUE,4,
EF492356.1,TRUE,Alphainfluenzavirus,A/turkey/Israel/884/2005,,Influenza A virus (A/turkey/Israel/884/2005(H9N2)),,non-human,,FALSE,FALSE,Meleagris gallopavo,Avian,"Unknown, Israel",TRUE,ai,TRUE,FALSE,,
NC_010667.1,TRUE,Cypovirus,China,China,Cypovirus 5,,non-human,,FALSE,FALSE,,Other,China,TRUE,ai,TRUE,TRUE,4,
KJ438712.1,TRUE,Orthoflavivirus,V69,Germany,Usutu virus,,non-human,2011,FALSE,FALSE,Turdus merula,Avian,,FALSE,ai,TRUE,FALSE,,
OX442348.1,TRUE,Orthoflavivirus,ED-I-314-20,,West Nile virus,,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
MT980830.1,TRUE,Densovirinae,PMH-Mad1,Madagascar,Penaeus monodon densovirus,,non-human,15-Aug-2018,FALSE,FALSE,Penaeus monodon,Crustacean,"Madagascar, Madagascar",FALSE,ai,TRUE,FALSE,,
DQ164187.1,TRUE,Orthoflavivirus,NY 2002 Broome,"USA: NY, Broome",West Nile virus,,non-human,2002,FALSE,FALSE,Corvus brachyrhynchos,Avian,"Broome, USA",TRUE,ai,TRUE,FALSE,,
MK540738.1,TRUE,Lyssavirus,NY.2010.5490S,USA: New York,Lyssavirus rabies,,non-human,2010,FALSE,FALSE,Mephitidae,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
NC_015941.1,TRUE,Picornaviridae,MH9F,Hong Kong,Bat picornavirus 2,,non-human,06-Sep-2005,FALSE,FALSE,Miniopterus magnater,Mammal,Hong Kong,TRUE,ai,TRUE,FALSE,,
KM923920.1,TRUE,Alphavirus,M129,Malaysia,Chikungunya virus,,non-human,09-Mar-2007,TRUE,FALSE,Macaca fascicularis,Mammal,,TRUE,ai,TRUE,FALSE,,
NC_015135.1,TRUE,Orthoreovirus,AVS-B,USA,Avian orthoreovirus,,non-human,,FALSE,FALSE,Aves,Avian,"USA, USA",TRUE,ai,TRUE,TRUE,S4,
AY294028.1,TRUE,Avihepadnavirus,ST10,South Africa: Cape Town,Duck hepatitis B virus,,non-human,,FALSE,FALSE,Anas platyrhynchos,Avian,"Cape Town, South Africa",TRUE,ai,TRUE,FALSE,,
MK697273.1,TRUE,Alphavirus,MIDITully.2017,Australia,Barmah Forest virus,,non-human,Apr-2017,FALSE,FALSE,Verrallina,Insect,Australia,TRUE,ai,TRUE,FALSE,,
HQ834201.1,TRUE,Rotavirus,CC0812-1/2008,China,Lamb rotavirus,,non-human,Dec-2008,FALSE,FALSE,Ovis aries,Mammal,,TRUE,ai,TRUE,TRUE,9,
HQ595344.1,TRUE,Picornaviridae,TLC5F,Hong Kong,Bat picornavirus 3,,non-human,12-Sep-2008,FALSE,FALSE,Rhinolophus sinicus,Mammal,"Hong Kong, China",TRUE,ai,TRUE,FALSE,,
OM892334.1,TRUE,Parvovirinae,138Parv,,Parvovirinae sp.,,non-human,2019,FALSE,FALSE,Procyon lotor,Mammal,,TRUE,ai,TRUE,FALSE,,
MW874081.1,TRUE,Coltivirus,Heverlee,Belgium,Eyach virus,,non-human,15-Jun-2017,FALSE,FALSE,Ixodes ricinus,Insect,Belgium,FALSE,ai,TRUE,TRUE,1,
MN585121.1,TRUE,Quaranjavirus,LBJ,New Zealand,Quaranjavirus johnstonense,,non-human,1972,FALSE,FALSE,Ornithodoros capensis,Other,New Zealand,TRUE,ai,TRUE,TRUE,1,
KY860590.1,TRUE,Lyssavirus,RV2984,Turkey,Lyssavirus rabies,,non-human,2007,FALSE,FALSE,Vulpes,Mammal,,TRUE,ai,TRUE,FALSE,,
MF384276.1,TRUE,Deltapapillomavirus,13_asi_CH,Switzerland,Bos taurus papillomavirus 1,,non-human,,FALSE,FALSE,Equus asinus,Mammal,,FALSE,ai,TRUE,FALSE,,
OX451204.1,TRUE,Orthoflavivirus,ED-I-219-20,,West Nile virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
OP913259.1,TRUE,Orthoreovirus,MLBC1313,China,Nelson Bay orthoreovirus,,non-human,2013,FALSE,FALSE,Eucampsipoda sundaica,Insect,"China, China",TRUE,ai,TRUE,TRUE,L1,
NC_007535.1,TRUE,Mycoreovirus,,,Mycoreovirus 3,,non-human,,FALSE,FALSE,Fungi,Fungi,,FALSE,ai,TRUE,TRUE,1,
AY236219.2,TRUE,Aquareovirus,,,Threadfin reovirus,,non-human,,FALSE,FALSE,Eleutheronema tetradactylus,Fish,Unknown,TRUE,ai,TRUE,TRUE,10,
AB453162.1,TRUE,Gammapolyomavirus,APV4,,Gammapolyomavirus avis,,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
LC426694.1,TRUE,Polyomaviridae,PyVN-MS09C,China,Rhinolophus pearsonii polyomavirus 1,,non-human,2016,FALSE,FALSE,Rhinolophus pearsonii,Mammal,,FALSE,ai,TRUE,FALSE,,
EU784840.1,TRUE,Fijivirus,,China,Rice black-streaked dwarf virus 2,,non-human,,FALSE,FALSE,Oryza sativa,Plant,China,FALSE,ai,TRUE,TRUE,S10,
LR027547.1,FALSE,Enterovirus,CF210042|FRA06,,Enterovirus A71,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
NC_026801.1,TRUE,Varicosavirus,,,Black grass varicosavirus-like virus,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,1,
OK422496.1,TRUE,Orthopoxvirus,BPXV/buffalo/India/2011/Meerut-1/P50/C5,India,Buffalopox virus,,non-human,,TRUE,FALSE,Bubalus bubalis,Mammal,,TRUE,ai,TRUE,FALSE,,
MT774255.1,TRUE,Quaranjavirus,Ib An 38918,Nigeria,Lake Chad virus,,non-human,1969,FALSE,FALSE,Ploceus vitellinus,Avian,Nigeria,FALSE,ai,TRUE,TRUE,3,
KP143769.1,TRUE,Orthopoxvirus,Herman,USA,Raccoonpox virus,,non-human,1964,FALSE,FALSE,Procyon lotor,Mammal,USA,TRUE,ai,TRUE,FALSE,,
LN713555.1,TRUE,Lyssavirus,sadBatch744_1_var12,,Lyssavirus rabies,,non-human,,FALSE,FALSE,cell culture,Other,,FALSE,ai,TRUE,FALSE,,
MK159261.1,TRUE,Cytorhabdovirus,,China,strawberry-associated virus 1,,non-human,21-Mar-2016,FALSE,FALSE,Fragaria × ananassa,Plant,,FALSE,ai,TRUE,FALSE,,
DQ192570.1,TRUE,Gammapolyomavirus,,,Gammapolyomavirus corvi,,non-human,2005,FALSE,FALSE,Corvus monedula,Avian,,FALSE,ai,TRUE,FALSE,,
DQ487338.1,FALSE,Alphainfluenzavirus,A/Panama/2007/1999,,Influenza A virus (A/Panama/2007/1999(H3N2)),,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,TRUE,7,
